property_id,location,latitude,longitude,builder_name,property_type,furnishing,listing_type,sqft,bedrooms,bathrooms,balconies,parking,floor,total_floors,age,amenities_count,distance_metro,distance_school,distance_hospital,distance_cbd,connectivity_score,safety_score,school_score,price,demand_score,liquidity_score,roi,market_trend,listing_date,price_per_sqft,listing_year,listing_month,location_score,amenity_index,age_bucket,trend_category,distance_composite,proximity_score,roi_estimate,furnish_numeric,luxury_score,value_ratio,location_encoded,builder_name_encoded,property_type_encoded,furnishing_encoded,listing_type_encoded,trend_category_encoded,predicted_price,price_gap,price_gap_pct,cluster,segment_label,valuation_label,sell_signal
BLR-10014,BTM Layout,12.925597,77.600412,Assetz Property Group,Builder Floor,Semi-furnished,Ready to Move,663,2,2,2,1,2,10,24,6,3.73,2.05,1.88,5.15,7.7,8,4,6607784,82,56,13.47,0.086,2024-05-31,9966.49,2024,5,6.68,0.3,4,Cool,3.379,7.5,14.38,1,0.365,0.312,0,0,1,1,1,1,6238025.5,369758.5,5.93,2,Budget,Fair Value,HOLD
BLR-10043,BTM Layout,12.925209,77.601256,Assetz Property Group,Apartment,Unfurnished,Resale,2004,4,4,1,0,4,11,14,2,0.49,2.8,9.89,5.21,9.0,9,5,21025220,59,67,12.69,0.1165,2024-06-03,10491.63,2024,6,7.8,0.1,3,Warm,4.012,7.03,16.61,0,0.195,0.991,0,0,0,2,2,3,21118848.0,-93628.0,-0.44,0,Mid-range,Fair Value,BUY
BLR-10065,BTM Layout,12.905003,77.61717,Shriram Properties,Apartment,Fully-furnished,New Launch,2823,2,2,2,1,12,17,14,13,1.77,5.27,2.72,7.8,8.1,8,8,32983895,63,58,10.93,0.1122,2021-03-15,11683.99,2021,3,8.04,0.65,3,Warm,4.168,6.92,16.11,2,0.682,1.555,0,8,0,0,0,3,33187230.0,-203335.0,-0.61,1,Emerging High-Growth,Fair Value,BUY
BLR-10068,BTM Layout,12.926978,77.602618,Lodha Group,Apartment,Unfurnished,Resale,2758,3,3,1,0,2,19,16,9,1.58,7.54,8.98,5.04,8.6,10,8,23427393,98,36,11.38,0.1002,2020-12-11,8494.34,2020,12,8.84,0.45,3,Warm,5.117,6.22,16.0,0,0.328,1.105,0,3,0,2,2,3,25068012.0,-1640619.0,-6.54,3,Premium,Fair Value,BUY
BLR-10096,BTM Layout,12.904392,77.613041,Shriram Properties,Apartment,Unfurnished,New Launch,521,2,1,1,0,2,11,2,18,1.81,0.4,3.73,7.74,8.1,7,10,9025687,79,35,9.04,0.1135,2023-02-19,17323.78,2023,2,8.34,0.9,0,Warm,3.394,7.49,16.35,0,0.306,0.426,0,8,0,2,0,3,9058467.0,-32780.0,-0.36,3,Premium,Fair Value,BUY
BLR-10109,BTM Layout,12.922077,77.596552,Assetz Property Group,Builder Floor,Fully-furnished,Resale,2689,5,5,1,1,8,9,10,6,2.39,3.99,3.63,5.51,8.2,5,9,31855041,45,45,10.22,0.0965,2020-01-02,11846.43,2020,1,7.48,0.3,2,Cool,3.738,7.24,13.25,2,0.536,1.502,0,0,1,0,2,1,31715816.0,139225.0,0.44,0,Mid-range,Fair Value,SELL
BLR-10125,BTM Layout,12.92586,77.609251,Assetz Property Group,Plot,Unfurnished,Resale,2657,0,0,0,2,0,0,12,9,0.41,6.52,3.03,5.33,9.0,7,10,19526072,50,37,8.63,0.0849,2021-05-08,7348.92,2021,5,8.7,0.45,3,Cool,3.386,7.5,12.1,0,0.372,0.921,0,0,3,2,2,1,20002302.0,-476230.0,-2.38,0,Mid-range,Fair Value,SELL
BLR-10137,BTM Layout,12.907238,77.601442,Mantri Developers,Apartment,Unfurnished,Ready to Move,1741,4,3,1,0,22,25,7,12,1.3,3.45,6.56,7.2,8.4,8,9,20581823,77,32,10.62,0.1009,2020-11-21,11821.84,2020,11,8.46,0.6,2,Warm,4.257,6.85,14.9,0,0.304,0.97,0,4,0,2,1,3,20384528.0,197295.0,0.97,3,Premium,Fair Value,BUY
BLR-10161,BTM Layout,12.910407,77.623609,Lodha Group,Apartment,Semi-furnished,New Launch,1801,3,3,2,0,5,5,13,9,3.57,5.37,3.51,7.5,7.4,9,8,18045320,31,39,10.93,0.1101,2022-07-01,10019.61,2022,7,8.06,0.45,3,Warm,4.9,6.38,13.73,1,0.421,0.851,0,3,0,1,0,3,17855994.0,189326.0,1.06,0,Mid-range,Fair Value,HOLD
BLR-10170,BTM Layout,12.906815,77.61471,Shriram Properties,Apartment,Fully-furnished,Resale,1346,3,2,1,0,15,18,1,10,3.39,2.25,5.58,7.53,7.5,7,8,20885714,96,57,12.85,0.0926,2021-04-01,15516.88,2021,4,7.5,0.5,0,Cool,4.635,6.57,15.77,2,0.456,0.985,0,8,0,0,2,1,20688030.0,197684.0,0.96,3,Premium,Fair Value,HOLD
