property_id,location,latitude,longitude,builder_name,property_type,furnishing,listing_type,sqft,bedrooms,bathrooms,balconies,parking,floor,total_floors,age,amenities_count,distance_metro,distance_school,distance_hospital,distance_cbd,connectivity_score,safety_score,school_score,price,demand_score,liquidity_score,roi,market_trend,listing_date
BLR-10001,Koramangala,12.939697,77.625848,Puravankara,Apartment,Semi-furnished,Resale,1626,3,3,0,0,6,6,18,9,2.17,0.41,2.23,4.9,8.4,6,7,23773405,30,45,9.67,0.0819,2021-11-27
BLR-10002,Marathahalli,12.952895,77.704759,Mantri Developers,Apartment,Unfurnished,Resale,1878,2,2,1,1,3,6,19,19,1.19,7.39,1.06,12.12,7.7,7,8,15353747,59,62,8.49,0.1391,2024-10-17
BLR-10003,Bannerghatta Road,12.864198,77.604962,Sobha Ltd,Builder Floor,Unfurnished,Resale,2056,4,3,2,1,3,14,11,7,6.27,2.11,4.78,12.0,5.7,10,8,14469615,37,54,12.27,0.1493,2024-07-06
BLR-10004,Jayanagar,12.927506,77.57966,Puravankara,Apartment,Semi-furnished,Resale,771,1,1,0,1,16,23,20,19,1.71,6.03,4.46,5.16,8.5,6,8,13616248,44,44,8.29,0.0676,2024-06-10
BLR-10005,KR Puram,12.999545,77.681797,Shriram Properties,Villa,Semi-furnished,Ready to Move,3376,4,4,2,1,3,3,21,10,6.38,2.85,3.15,9.95,6.0,10,9,21336754,52,89,14.5,0.1648,2024-11-17
BLR-10006,JP Nagar,12.89387,77.58528,Godrej Properties,Builder Floor,Unfurnished,Ready to Move,2579,3,3,1,1,1,8,15,9,0.57,7.05,9.49,8.7,8.5,5,10,26162617,90,95,6.88,0.0699,2022-12-16
BLR-10007,Hennur,13.047853,77.624016,Puravankara,Apartment,Fully-furnished,New Launch,1367,3,3,2,1,7,12,14,9,1.45,0.36,5.67,9.06,8.1,10,9,11464226,34,67,10.47,0.1043,2021-05-02
BLR-10008,Marathahalli,12.958111,77.707772,Puravankara,Villa,Fully-furnished,Ready to Move,2677,5,2,3,2,3,4,7,5,1.03,3.56,4.41,12.35,7.7,10,9,41207301,81,68,8.69,0.128,2020-08-11
BLR-10009,Bannerghatta Road,12.88517,77.604991,Shriram Properties,Apartment,Fully-furnished,Resale,2696,5,5,1,1,5,8,7,5,2.4,7.99,8.41,9.68,7.6,6,5,23537114,81,32,13.37,0.1099,2020-01-05
BLR-10010,Yelahanka,13.100004,77.608882,Assetz Property Group,Apartment,Unfurnished,Ready to Move,2363,4,3,2,0,16,20,6,19,2.61,2.65,0.79,14.36,6.8,9,5,15708135,53,33,16.55,0.1657,2023-10-14
BLR-10011,Bannerghatta Road,12.865585,77.599756,Puravankara,Apartment,Unfurnished,Ready to Move,2833,3,3,2,1,4,5,8,10,5.17,5.44,3.21,11.8,6.2,5,4,20918530,42,34,16.99,0.1323,2022-11-02
BLR-10012,Marathahalli,12.947208,77.712244,Shriram Properties,Apartment,Semi-furnished,New Launch,1929,2,2,1,1,3,12,17,2,4.17,4.53,9.34,13.03,6.4,7,4,15511503,49,59,13.2,0.0969,2021-03-07
BLR-10013,Jayanagar,12.91029,77.571057,Godrej Properties,Apartment,Unfurnished,Ready to Move,1581,5,4,0,1,4,5,1,7,2.28,4.5,4.45,7.28,8.0,10,5,30496669,48,80,8.84,0.0376,2021-09-23
BLR-10014,BTM Layout,12.925597,77.600412,Assetz Property Group,Builder Floor,Semi-furnished,Ready to Move,663,2,2,2,1,2,10,24,6,3.73,2.05,1.88,5.15,7.7,8,4,6607784,82,56,13.47,0.086,2024-05-31
